DATE,DAXRNSA
2014-10-01,142.61977
2014-11-01,142.78123
2014-12-01,142.8462
2015-01-01,143.4478
2015-02-01,144.42915
2015-03-01,147.16687
2015-04-01,148.80297
2015-05-01,150.26878
2015-06-01,151.66958
2015-07-01,153.56296
2015-08-01,154.67285
2015-09-01,155.26289
2015-10-01,155.79351
2015-11-01,156.10631999999998
2015-12-01,156.43941
2016-01-01,156.62929
2016-02-01,157.46171999999999
2016-03-01,159.7194
2016-04-01,161.71003000000002
2016-05-01,163.81696000000002
2016-06-01,165.2148
2016-07-01,166.33744
2016-08-01,167.13441
2016-09-01,167.73157
2016-10-01,168.43477
2016-11-01,168.73869
2016-12-01,169.04901
2017-01-01,169.46066000000002
2017-02-01,171.30343
2017-03-01,173.44678000000002
2017-04-01,175.29404
2017-05-01,176.53401000000002
2017-06-01,177.85815
2017-07-01,178.50937
2017-08-01,179.0317
2017-09-01,179.73311
2017-10-01,180.42716000000001
2017-11-01,180.64196
2017-12-01,180.78713
2018-01-01,181.23406
2018-02-01,182.28582
2018-03-01,183.58835
2018-04-01,185.27276
2018-05-01,186.42279
2018-06-01,187.15900000000002
2018-07-01,187.50014
2018-08-01,187.43341999999998
2018-09-01,187.42928
2018-10-01,187.49068
2018-11-01,187.88942
2018-12-01,187.97905
2019-01-01,188.20045
2019-02-01,188.53544
2019-03-01,189.08053999999998
2019-04-01,190.31756000000001
2019-05-01,191.29859
2019-06-01,192.1308
2019-07-01,192.55559
2019-08-01,192.66199
2019-09-01,193.06343
2019-10-01,192.92037
2019-11-01,193.23245
2019-12-01,192.84198999999998
2020-01-01,193.08323000000001
2020-02-01,193.32482
2020-03-01,194.38573
2020-04-01,195.68122
2020-05-01,196.71531000000002
2020-06-01,198.04247
2020-07-01,198.78224
2020-08-01,200.73283999999998
2020-09-01,202.58647
2020-10-01,205.50438
2020-11-01,207.21477
2020-12-01,209.07641999999998
2021-01-01,210.81409
2021-02-01,214.3741
2021-03-01,220.39817000000002
2021-04-01,226.77821
2021-05-01,233.07686
2021-06-01,240.1397
2021-07-01,245.82837999999998
2021-08-01,250.22384
2021-09-01,253.25599999999997
2021-10-01,256.09386
2021-11-01,259.1244
2021-12-01,263.42977
2022-01-01,268.37572
2022-02-01,276.18207
2022-03-01,288.06233
2022-04-01,297.18396
2022-05-01,304.7283
2022-06-01,307.80672000000004
2022-07-01,306.50892000000005
2022-08-01,300.63781
2022-09-01,294.43444
2022-10-01,290.68259
2022-11-01,287.46789
